num,subject,attention,solutions,score
0,1,divided,1,2
1,2,divided,1,3
2,3,divided,1,3
3,4,divided,1,5
4,5,divided,1,4
5,6,divided,1,5
6,7,divided,1,5
7,8,divided,1,5
8,9,divided,1,2
9,10,divided,1,6
10,11,focused,1,6
11,12,focused,1,8
12,13,focused,1,6
13,14,focused,1,8
14,15,focused,1,8
15,16,focused,1,6
16,17,focused,1,7
17,18,focused,1,7
18,19,focused,1,5
19,20,focused,1,6
20,1,divided,2,4
21,2,divided,2,4
22,3,divided,2,5
23,4,divided,2,7
24,5,divided,2,5
25,6,divided,2,5
26,7,divided,2,4.5
27,8,divided,2,7
28,9,divided,2,3
29,10,divided,2,5
30,11,focused,2,5
31,12,focused,2,9
32,13,focused,2,5
33,14,focused,2,8
34,15,focused,2,8
35,16,focused,2,8
36,17,focused,2,7
37,18,focused,2,8
38,19,focused,2,6
39,20,focused,2,6
40,1,divided,3,7
41,2,divided,3,5
42,3,divided,3,6
43,4,divided,3,5
44,5,divided,3,8
45,6,divided,3,6
46,7,divided,3,6
47,8,divided,3,8
48,9,divided,3,7
49,10,divided,3,6
50,11,focused,3,6
51,12,focused,3,8
52,13,focused,3,9
53,14,focused,3,7
54,15,focused,3,7
55,16,focused,3,7
56,17,focused,3,6
57,18,focused,3,6
58,19,focused,3,6
59,20,focused,3,5
